GNames	Control_1	Control_2	Control_3	IL6_1	IL6_2	IL6_3
A1BG	0.308973952844313	0.106598117955687	0.342573551081757	0.314267723108791	0.14115924474361	0.146196809547296
A1BG-AS1	1.64859166057739	0.908804092540399	1.75584695465418	1.80582512843533	0.753183080938141	1.23453291154373
A1CF	0	0	0.00403473891368166	0.00455552061780619	0	0.0110199462451213
A2M	1054.45401353952	1511.23961511617	862.463965089337	1048.14577834295	1214.66049767178	796.892019543031
A2M-AS1	0.677203737293293	0.645583937909346	0.27662775089638	0.390416657245274	0.683915572570215	0.236107513221111
A2ML1	0.112054905507798	0.0386597055346358	0.0621201990466029	0.0613710383758289	0.0731341622151357	0.063625051341362
A2MP1	0.0649040086618349	0.117559706262093	0	0.0710941906240978	0.118609361825724	0.0429947653134529
A3GALT2	0.0761971792794367	0.0920099101972677	0.147845770113129	0.0417322204005579	0.0696235794490199	0.0504757704217566
A4GALT	0.481171076376671	0.156429954193028	0.215450459865713	0.66896392611849	0.456570011452536	0.122594285688758
A4GNT	0.396130677262447	0.478337235235146	0.213503984790698	0.31338046245631	0.221195409269355	0.379038549342575
AAAS	42.8417687053544	36.3855001330366	30.8048339374653	35.9564502634799	32.1856678227864	29.0768920608151
AACS	5.15620678862679	7.43768346922229	5.69267061398696	5.99298917288519	7.34420399640759	5.5639678920035
AACSP1	0	0	0	0.01962853400909	0	0
AADACL3	0	0	0	0	0	0
AADACP1	0	0	0	0	0	0
AADAT	0.167561724813985	0.445136508811688	0.29260877156901	0.587337044989287	0.428696863697806	0.332996860227023
AAED1	15.1255081867065	28.6470855264729	13.151845462958	15.2618963686515	18.2650061089279	14.0109277966833
AAGAB	14.2771726596634	18.2532816864682	15.0308505442459	13.5208112603836	19.601537980851	14.4846452757703
AAK1	1.15736079244841	0.90442114602874	1.00733693963125	0.98089639886171	1.05751422641415	0.917101797735512
AAMDC	1.67934752735615	1.60538296629996	1.69710752742638	2.68262504660233	2.62138401502514	1.5759858588115
AAMP	32.6632721827124	18.3669480087371	39.4873032728968	37.0761789737314	24.3750173323455	40.696125862867
AANAT	1.85948746143764	0.763427647435567	2.77813911195221	2.85156899083919	0.917496606983817	2.2172252773513
