symbol	Control_1	Control_2	MSC_1	MSC_2	MSC_3	Control_1
A1BG	39.72	66.19	42	25.55	28.48	34
A1BG-AS1	37.14	106.93	45.31	26.16	38.85	26.57
A1CF	0	0	0	0	0	1
A2M	3	0	0	9	1	3
A2M-AS1	3	0	3	5	14	2
A2ML1	0	0	0	0	0	1
A2MP1	0	0	0	1	0	0
A3GALT2	2	0	1	0	0	1
A4GALT	4	6	8	4	13	4
A4GNT	0	0	0	0	0	0
AA06	0	0	0	0	0	0
AAAS	623	751	402	347	497	520.12
AACS	151	227	176	112	151	161
AACSP1	0	0	0	0	0	0
AADAC	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0
AADACL2-AS1	1	0	0	0	0	3
AADACL3	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0
AADACP1	0	0	0	0	0	0
AADAT	0	0	0	0	0	1
AAED1	132	135.18	98	85	114	103
AAGAB	711	774.01	457	350	634	611.83
AAK1	2751.9	3854.39	2345.7	2335.89	2427.37	2905.63
AAMDC	69	27	28	37	59	34
AAMP	1266.97	1214	773	553	978	918
AANAT	2	3	3	4	4	1
AAR2	708	716	512	446	613	570
AARD	15	18	4	7	11	4
AARS	1363	1658	1145	878	1326	1083
AARS2	312	468.06	282.99	182.34	282	310
AARSD1	143	170.7	127	95.39	160.78	136.19
AASDH	273	325	178	140	222	206.77
AASDHPPT	752.55	819.49	519.45	498.03	636.37	680
AASS	32	19	7	19	17.76	29
AATBC	5	5	2	0	5	7
AATF	1146	1096	681	564	1043.94	821
AATK	22	49	57	19	25	15
AATK-AS1	0	0	0	0	0	0
ABAT	396	589.66	260	433	270	513.97
ABCA1	67	136	111	85	106	51
ABCA10	11	34	14	21	8	37.96
ABCA11P	89	88	66	36	49	57.95
ABCA12	0	0	0	0	0	0
ABCA13	1	6	1	1	0	1
ABCA17P	4	6	4	1	4	1
ABCA2	6902.01	8549.04	5795	7400.99	7827.21	6892.31
ABCA3	194	277	144	230	139	307
ABCA4	0	0	0	0	0	0
ABCA5	549.01	932.99	497	450	468.01	535
ABCA6	6	8	4	4	5	4
ABCA7	3308	7627.29	3940.69	4741.13	2863.97	5599.64
ABCA8	0	0	0	0	0	0
ABCA9	3	8	8	4	3	2.77
ABCA9-AS1	0	0	0	0	0	0
ABCB1	418	609	468.01	525	374	687
ABCB10	971	1015	605.07	549.28	735	705
ABCB11	1	0	0	0	0	0
ABCB4	2	1	2	3	3	2
ABCB5	2.79	7.69	1	2.14	2	5.28
ABCB6	214	415	228	196	187.86	343.61
ABCB7	462	446	334	251	380	387
ABCB8	732	920	475.12	400.92	561	616.68
ABCB9	24	54	24	10	15	27.5
ABCC1	1671.95	2775.99	1806.33	1479.25	1515.54	1632
ABCC10	839	1214	690	781.02	811	992
ABCC11	1	1	2	0	0	1
ABCC12	0	0	0	0	0	0
ABCC13	0	1	0	0	0	0
ABCC2	33	73	44	33	30	45
ABCC3	2	1	0	2	0	0
ABCC4	248	237	129	131.01	145	147
ABCC5	678.41	1274	700	639	679	809
ABCC5-AS1	0	0	0	0	0	0
ABCC6	0	0	0	0	0	1
ABCC6P1	0	0	0	0	0	0
ABCC6P2	0	0	0	0	0	0
ABCC8	0	0	0	0	0	0
ABCC9	276.98	454.74	254.14	238.27	224.01	263.17
ABCD1	280	318	175	165	219	270
ABCD2	838	1034	568.01	463	598	787.9
ABCD3	714	619	385	312	549	463
ABCD4	568.03	966	571	532	522.05	670.03
ABCE1	1389	1392.76	929	774	1199	999
ABCF1	1266	1667.94	1077.92	850.65	1159.69	1118
ABCF2	1159.43	1187	802.72	717.74	1029	983.01
ABCF3	638	967	645.91	560	651	747
ABCG1	290	452	352	366	382.64	324
ABCG2	29	63	33	34	9	50
ABCG4	0	0	0	0	1	1
ABCG5	0	0	0	0	0	0
ABCG8	0	0	0	0	0	0
ABHD1	0	3	5	1	2	1
ABHD10	404	332	190	183	335.26	276
ABHD11	111	134.24	66.06	78	90	108
ABHD11-AS1	1	2	2	0	3	5
ABHD12	448.17	572.68	369	326.06	444.74	403
ABHD12B	0	0	0	0	0	0
ABHD13	737	922	537	611	570	806.55
ABHD14A	187.73	254.61	117	101	103	205
ABHD14A-ACY1	5.76	14.21	0	0	0	0
ABHD14B	974.89	1343.63	775	680.97	758.01	1097.01
ABHD15	947.1	1342.03	767	732.09	799.01	1007.03
ABHD16A	724	871.01	559	412	596	744
ABHD16B	131	238	120	87	115	117
ABHD17A	3915	3621	2152	2014	3383.69	2923
ABHD17B	571	726	470	384	516.07	509
ABHD17C	78	32	22	26	57	20
ABHD2	2108.05	2073	1322.01	1188	1735.2	1497
ABHD3	1075.73	1212.1	679	683.23	890	820.77
ABHD4	572	689	394	352	375	575
ABHD5	248.37	261	161	144.27	189	155
ABHD6	148	143	67	91	102	124.37
ABHD8	268	381.01	226	162	208	245
ABI1	2308.6	2252.82	1709	1522	2049.78	1865.18
ABI2	418.89	553.64	303	300.56	303.63	365
ABI3	1316	695	463.4	340.1	1289.95	453
ABI3BP	0	1	2	2	1	0
ABL1	863	1035.8	641	561.4	748	750
ABL2	218	380.06	207.17	177.91	153.33	243.75
ABLIM1	4547.33	6831.13	5677.01	4648.32	5382.96	4192.16
ABLIM2	8	14	9	3	5	13
